District name,City,County name
Absecon Public School District,Absecon,Atlantic County
Academy Charter High School,Lake Como,Monmouth County
Academy For Urban Leadership,Perth Amboy,Middlesex County
Achieve Community Charter School,Newark,Essex County
Achievers Early College Prep Charter School,Trenton,Mercer County
Alexandria Township School District,Pittstown,Hunterdon County
Allamuchy Township School District,Allamuchy,Warren County
Allendale Board Of Education School District,Allendale,Bergen County
Alloway Twp School District,ALLOWAY,Salem County
Alpha Borough Public School District,Alpha,Warren County
Alpine Elementary School District,Alpine,Bergen County
Andover Regional School District,Newton,Sussex County
Area Vocational Technical School District Of Mercer County,Trenton,Mercer County
Asbury Park School District,Asbury Park,Monmouth County
Atlantic City Public School District,Atlantic City,Atlantic County
Atlantic Co JDC,Egg Harbor City,Atlantic County
Atlantic Community Charter School,Galloway,Atlantic County
Atlantic County Vocational School District,Mays Landing,Atlantic County
Atlantic Highlands School District,Atlantic Highlands,Monmouth County
Audubon Public School District,Audubon,Camden County
Avalon Elementary School District,Avalon,Cape May County
Avon-By-The-Sea School District,AVON,Monmouth County
Barnegat Township School District,Barnegat,Ocean County
Barrington School District,Barrington,Camden County
Bass River Township Board Of Education School District,NEW GRETNA,Burlington County
Bay Head Borough School District,Bay Head,Ocean County
Bayonne School District,Bayonne,Hudson County
Beach Haven School District,Beach Haven,Ocean County
Bedminster Township Public School District,Bedminster,Somerset County
Belleville Public School District,Belleville,Essex County
Bellmawr Public School District,Bellmawr,Camden County
Belmar Elementary School District,Belmar,Monmouth County
Beloved Community Charter School,Jersey City,Hudson County
Belvidere School District,Belvidere,Warren County
Benjamin Banneker Preparatory Charter School,Westampton,Burlington County
Bergen Arts And Sciences Charter School,Garfield,Bergen County
Bergen Co JDC,Paramus,Bergen County
Bergen County Vocational Technical School District,Paramus,Bergen County
Bergenfield Borough School District,Bergenfield,Bergen County
Berkeley Heights Public School District,Berkeley Heights,Union County
Berkeley Township School District,Bayville,Ocean County
Berlin Borough School District,Berlin,Camden County
Berlin Township School District,West Berlin,Camden County
Bernards Township Public School District,Basking Ridge,Somerset County
Bethlehem Township School District,Asbury,Hunterdon County
Beverly City School District,Beverly,Burlington County
Black Horse Pike Regional School District,Blackwood,Camden County
Blairstown Elementary Township School District,Blairstown,Warren County
Bloomfield Board Of Education School District,Bloomfield,Essex County
