,common,A+,A,A minus,school_x,10,9,8,school_y
0,Absecon,0,0,0,1,0,0,0,2
1,Alexandria Township,0,0,0,1,0,0,0,2
2,Allamuchy Township,0,0,0,2,0,0,0,1
3,Allendale,0,1,0,1,2,0,0,2
4,Alpine Elementary,1,0,0,1,1,0,0,1
5,Andover Regional,0,0,0,1,0,0,1,2
6,Asbury Park,0,0,0,4,0,0,0,3
7,Atlantic City,0,0,0,9,0,0,0,9
8,Atlantic Highlands,0,0,0,1,0,0,1,1
9,Avon-By-The-Sea,0,0,1,1,0,0,1,1
10,Barnegat Township,0,0,0,4,0,0,0,4
11,Barrington,0,0,0,1,0,0,0,2
12,Bay Head Borough,0,1,0,1,0,0,1,1
13,Bayonne,0,0,1,11,0,1,0,11
14,Beach Haven,0,0,0,1,0,0,0,1
15,Bedminster Township,0,0,1,1,0,0,1,1
16,Belleville,0,0,0,7,0,1,1,7
17,Bellmawr,0,0,0,2,0,0,0,3
18,Belvidere,0,0,0,2,0,0,0,1
19,Bergenfield Borough,0,0,4,5,0,1,3,5
20,Berkeley Heights,1,2,0,4,2,1,0,3
21,Berkeley Township,0,0,0,4,0,0,0,4
22,Berlin Township,0,0,0,1,0,0,0,2
23,Bernards Township,1,3,0,4,1,2,1,4
24,Bethlehem Township,0,0,0,1,0,0,0,1
25,Bloomfield,0,0,2,8,0,1,1,8
26,Bloomingdale,0,0,0,2,0,0,0,2
27,Bloomsbury,0,0,1,1,0,0,0,1
28,Bogota,0,0,0,2,0,0,2,2
29,Boonton Town,0,0,1,2,0,0,0,1
30,Boonton Township,0,1,0,1,0,1,0,1
31,Bordentown Regional,0,0,0,3,0,0,0,2
32,Bound Brook,0,0,0,3,0,0,0,2
33,Branchburg Township,0,1,1,2,0,0,1,2
34,Brick Township,0,0,0,7,0,0,0,8
35,Bridgeton,0,0,0,5,0,0,0,6
36,Bridgewater-Raritan Regional,0,5,1,7,1,3,3,9
37,Brielle Boro,0,1,0,1,0,1,0,1
38,Brooklawn,0,0,0,1,0,0,0,1
39,Buena Regional,0,0,0,3,0,0,0,1
40,Burlington City,0,0,0,3,0,0,0,1
41,Butler,0,0,0,1,0,0,1,2
42,Byram Township,0,0,0,1,0,0,0,2
43,Caldwell-West Caldwell,0,0,4,5,0,0,4,4
44,Califon,0,1,0,1,0,1,0,1
45,Camden City,0,0,0,12,0,0,0,12
46,Carlstadt,0,0,0,1,0,0,0,1
47,Carteret,0,0,0,3,0,0,0,3
48,Cedar Grove Township,0,1,1,2,0,1,2,3
49,Cherry Hill Township,0,3,4,13,2,1,1,12
50,Chester,0,0,1,2,0,0,1,1
51,Chesterfield Township,0,0,1,1,0,0,0,1
52,Cinnaminson Township,0,0,0,2,0,0,0,1
53,Clark Township,0,0,1,2,0,0,1,2
54,Clayton,0,0,0,1,0,0,0,1
55,Cliffside Park,0,0,0,3,0,0,0,4
56,Clifton,0,0,0,14,0,0,1,14
57,Clinton Township,0,0,1,4,0,0,0,1
58,Closter,0,1,0,1,2,0,0,2
59,Collingswood,0,1,1,5,1,1,0,5
60,Colts Neck Township,0,0,1,2,0,0,1,1
61,Cranbury Township,0,1,0,1,0,1,0,1
62,Cranford,0,3,1,6,1,1,1,4
63,Cresskill,0,2,0,2,0,2,0,2
64,Delanco Township,0,0,0,1,0,0,0,1
65,Delran Township,0,0,0,2,0,0,0,1
66,Demarest,0,1,0,2,1,1,0,2
67,Dennis Township,0,0,0,2,0,0,1,2
