,ranking,school,district,rating,rating_scores,rating_progress,rating_equity,grade,student,ratio
0,0,Walter M. Schirra Elementary School,Old Bridge Township School District,10,10,9,10,K-5 & Ungraded,278,10
1,1,Clark Mills Elementary School,Manalapan-Englishtown Regional School District,10,9,10,10,K-5,508,9
2,2,Frank Defino Central Elementary School,Marlboro Township Board Of Education School District,10,10,10,-1,K-5 & Ungraded,515,11
3,3,Mendham Twp Middle School,Mendham Township Board Of Education School District,10,10,10,-1,8-May,313,9
4,4,Edgar Middle School,Metuchen Public School District,10,9,10,10,5-8 & Ungraded,714,12
5,5,Wyoming Elementary School,Millburn Township School District,10,10,10,-1,K-4 & Ungraded,327,14
6,6,Hilldale Elementary School,Montville Township School District,10,10,10,-1,K-5,320,9
7,7,Cedar Hill School,Bernards Township Public School District,10,9,10,10,K-5 & Ungraded,547,10
8,8,Spring Garden Elementary School,Nutley Public School District,10,9,10,10,PK-6 & Ungraded,412,11
9,9,Oradell Elementary School,Oradell School District,10,10,10,8,PK-6 & Ungraded,764,11
10,10,School 28,Paterson Public School District,10,10,9,10,PK-8 & Ungraded,505,11
11,11,Orchard Elementary School,Ridgewood Public School District,10,10,10,10,K-5,298,15
12,12,J. Spencer Smith Elementary School,Tenafly Public School District,10,9,10,-1,K-5 & Ungraded,374,12
13,13,Sara M. Gilmore Academy,Union City School District,10,10,9,10,8-Jan,399,13
14,14,Edith A. Bogert Elementary School,Upper Saddle River School District,10,10,9,10,3-5 & Ungraded,377,12
15,15,Catherine E. Doyle Elementary School,Wood-Ridge Board Of Education School District,10,9,-1,10,PK-3 & Ungraded,396,10
16,16,North End Elementary School,Cedar Grove Township School District,10,9,10,-1,PK-4 & Ungraded,249,10
17,17,Brookside Elementary School,Allendale Board Of Education School District,10,10,9,10,8-Apr,512,11
18,18,Wemrock Brook School,Manalapan-Englishtown Regional School District,10,9,10,10,5-Jan,636,13
19,19,Alexander Hamilton School,Glen Rock Public School District,10,10,10,-1,K-5 & Ungraded,272,15
20,20,Hillside Elementary School,Closter Public School District,10,10,10,10,PK-4 & Ungraded,682,11
21,21,Zane North Elementary School,Collingswood Public School District,10,10,10,-1,PK-5 & Ungraded,160,14
22,22,Edward H. Bryan Elementary School,Cresskill Public School District,10,9,10,10,K-5 & Ungraded,477,12
23,23,Merritt Memorial Elementary School,Cresskill Public School District,10,9,10,-1,K-5 & Ungraded,336,12
24,24,Riverview Elementary School,Denville Township Board Of Education School District,10,10,10,-1,K-5,382,9
25,0,Upper School,Englewood Cliffs Public School District,10,10,10,8,8-Mar,328,8
26,1,Henry B. Milnes Elementary School,Fair Lawn Public School District,10,10,10,10,K-5 & Ungraded,497,11
27,2,Woodfern Elementary School,Hillsborough Township Public School District,10,9,10,-1,K-4 & Ungraded,363,9
28,3,Island Heights Elementary School,Island Heights Board Of Education School District,10,9,10,-1,K-6,124,9
29,4,Markham Place Elementary School,Little Silver Boro School District,10,10,10,-1,8-May,380,9
30,5,Point Road School,Little Silver Boro School District,10,9,10,-1,PK-4,454,10
31,6,Columbus Elementary School,Lodi Public School District,9,7,10,9,K-5 & Ungraded,221,14
32,7,Torey J. Sabatini Elementary School,Madison School District,9,9,9,-1,K-5,316,11
33,8,Lafayette Mills Elementary School,Manalapan-Englishtown Regional School District,9,9,10,7,5-Jan,515,13
34,9,Milford Brook Elementary School,Manalapan-Englishtown Regional School District,9,9,9,10,K-5 & Ungraded,540,12
35,10,Pine Brook Elementary School,Manalapan-Englishtown Regional School District,9,10,9,10,6,565,15
36,11,Jefferson Elementary School,Bergenfield Borough School District,9,8,10,8,K-5,263,15
37,12,Robertsville Elementary School,Marlboro Township Board Of Education School District,9,9,8,10,1-5 & Ungraded,486,11
38,13,Lincoln Elementary School,Bergenfield Borough School District,9,9,8,9,PK-5 & Ungraded,412,14
39,14,Maywood Avenue Elementary School,Maywood School District,9,9,10,7,"PK, 4-8 & Ungraded",560,11
40,15,Memorial Elementary School,Maywood School District,9,10,-1,8,PK-3 & Ungraded,430,12
41,16,Taunton Forge Elementary School,Medford Township Public School District,9,8,9,-1,K-5,289,12
42,17,Mountain View Middle School,Mendham Borough School District,9,10,9,-1,8-May,249,8
43,18,Mendham Twp Elementary School,Mendham Township Board Of Education School District,9,10,9,-1,PK-4 & Ungraded,377,10
44,19,Middletown Village Elementary School,Middletown Township Public School District,9,9,8,10,K-5 & Ungraded,384,15
45,20,South Mountain Elementary School,Millburn Township School District,9,10,8,-1,PK-4 & Ungraded,296,12
46,21,Deerfield Elementary School,Millburn Township School District,9,10,9,-1,K-4 & Ungraded,413,14
47,22,Glenwood Elementary School,Millburn Township School District,9,10,8,-1,K-4,362,13
48,23,Cedar Hill Elementary School,Montville Township School District,9,8,9,-1,PK-5 & Ungraded,327,7
