,ranking,school,district,rating,grade,student,ratio
0,-1,Washington School,Millburn Township School District,A+,5,388,
1,2,Princeton Charter School,Princeton Charter School,A+,K-8,426,10 to 1
2,3,Alpine Elementary School,Alpine Elementary School District,A+,K-8,151,7 to 1
3,4,Wyoming Elementary School,Millburn Township School District,A+,K-4,331,12 to 1
4,5,Hartshorn Elementary School,Millburn Township School District,A+,K-4,397,11 to 1
5,6,Deerfield Elementary School,Millburn Township School District,A+,K-4,400,12 to 1
6,7,Glenwood Elementary School,Millburn Township School District,A+,K-4,357,14 to 1
7,8,South Mountain School,Millburn Township School District,A+,"PK, K-4",293,10 to 1
8,9,Wandell School,Saddle River School District,A+,"PK, K-5",129,7 to 1
9,10,Washington Elementary School,Summit Public School District,A+,5-Jan,335,10 to 1
10,11,Hawes Elementary School,Ridgewood Public School District,A+,K-5,408,15 to 1
11,12,South Valley Elementary School,Moorestown Township School District,A+,"PK, K-3",388,13 to 1
12,13,Hillside Elementary School,Livingston Public School District,A+,K-5,397,14 to 1
13,14,Lincoln-Hubbard Elementary School,Summit Public School District,A+,5-Jan,326,12 to 1
14,15,Ralph S. Maugham Elementary School,Tenafly Public School District,A+,K-5,333,9 to 1
15,16,Littlebrook Elementary School,Princeton Public School District,A+,"PK, K-5",403,10 to 1
16,17,Ridge Elementary School,Ridgewood Public School District,A+,K-5,463,14 to 1
17,18,George C. Baker Elementary School,Moorestown Township School District,A+,K-3,393,13 to 1
18,19,Wildwood Elementary School,Mountain Lakes Board Of Education School District,A+,K-5,428,11 to 1
19,20,Monmouth Junction Elementary School,South Brunswick School District,A+,"PK, K-5",326,16 to 1
20,21,Essex Fells School,Essex Fells School District,A+,"PK, K-6",251,7 to 1
21,22,Mt. Pleasant Elementary School,Livingston Public School District,A+,K-5,412,19 to 1
22,23,Riker Hill Elementary School,Livingston Public School District,A+,K-5,405,14 to 1
23,24,Orchard Elementary School,Ridgewood Public School District,A+,K-5,299,13 to 1
24,25,Hatikvah International Charter School,Hatikvah International Academy Charter School,A+,K-8,546,13 to 1
25,26,Edith A. Bogert Elementary School,Upper Saddle River School District,A+,5-Mar,347,10 to 1
26,27,Sea Girt Elementary School,Sea Girt Borough Public School District,A+,"PK, K-8",150,7 to 1
27,28,Washington Elementary School,Westfield Public School District,A+,5-Jan,285,12 to 1
28,29,Harrison Elementary School,Livingston Public School District,A+,K-5,449,12 to 1
29,30,Mackay School,Tenafly Public School District,A+,K-5,316,9 to 1
30,31,Somerville Elementary School,Ridgewood Public School District,A+,"PK, K-5",422,16 to 1
31,32,Ho-Ho-Kus Public School,Ho-Ho-Kus School District,A+,"PK, K-8",596,12 to 1
32,33,Harrington Park School District,Harrington Park School District,A+,"PK, K-8",596,10 to 1
33,34,Stony Brook Elementary School,Hopewell Valley Regional School District,A+,K-5,383,10 to 1
34,35,Franklin Elementary School,Summit Public School District,A+,5-Jan,329,13 to 1
35,36,Mount Prospect Elementary School,Bernards Township Public School District,A+,"PK, K-5",539,9 to 1
36,37,J. Spencer Smith Elementary School,Tenafly Public School District,A+,K-5,333,9 to 1
37,38,Franklin Elementary School,Westfield Public School District,A+,5-Jan,545,13 to 1
38,39,Roosevelt Public School,Roosevelt Public School District,A+,"PK, K-6",72,8 to 1
39,40,Henry B. Milnes Elementary School,Fair Lawn Public School District,A+,K-4,419,14 to 1
40,41,Alexander Hamilton School,Glen Rock Public School District,A+,K-5,279,14 to 1
41,42,Maurice Hawk Elementary School,West Windsor-Plainsboro Regional School District,A+,K-3,698,12 to 1
42,43,The Gray Charter School,Gray Charter School,A+,K-8,364,19 to 1
43,44,Johnson Park Elementary School,Princeton Public School District,A+,"PK, K-5",352,10 to 1
44,45,Mountain Park Elementary School,Berkeley Heights Public School District,A+,5-Feb,232,10 to 1
45,-1,Central Elementary School,East Brunswick Public School District,A+,"PK, K-4",433,11 to 1
46,46,Willard Elementary School,Ridgewood Public School District,A+,K-5,496,14 to 1
47,47,Village Elementary School,West Windsor-Plainsboro Regional School District,A+,"PK, 4-5",726,13 to 1
48,48,William Woodruff Elementary School,Berkeley Heights Public School District,A,K-5,180,13 to 1
49,49,Milltown Primary School,Bridgewater-Raritan Regional School District,A,"PK, K-4",416,10 to 1
50,50,Haworth Public School,Haworth Public School District,A,K-8,387,9 to 1
51,51,Town Center Elementary School at Plainsboro,West Windsor-Plainsboro Regional School District,A,"PK, K-2",468,10 to 1
52,52,Thomas P. Hughes Elementary School,Berkeley Heights Public School District,A,5-Feb,264,11 to 1
53,53,Collins Elementary School,Livingston Public School District,A,K-5,462,12 to 1
54,54,Clara E. Coleman School,Glen Rock Public School District,A,"PK, K-5",318,14 to 1
55,55,Dutch Neck Elementary School,West Windsor-Plainsboro Regional School District,A,K-3,706,15 to 1
56,56,Merritt Memorial Elementary School,Cresskill Public School District,A,K-5,350,13 to 1
57,57,Brooks Crossing Elementary School,South Brunswick School District,A,"PK, K-5",578,18 to 1
58,58,Walter Stillman Elementary School,Tenafly Public School District,A,"PK, K-5",325,8 to 1
59,59,Jefferson Elementary School,Summit Public School District,A,5-Jan,204,9 to 1
60,60,Jersey City Global Charter School,Jersey City Global Charter School,A,K-8,507,14 to 1
